            0.0     0.00000     0.00000     0.00000    34.00000
     -1988410.2     0.00028     0.01611     0.01739    33.43666
     -2884933.7     0.00109     0.02168     0.02412    32.39530
     -3621572.0     0.00227     0.02617     0.02884    31.20887
     -4285235.0     0.00362     0.02911     0.03263    30.05187
     -4903857.8     0.00504     0.03045     0.03570    28.96679
     -5488584.8     0.00646     0.03309     0.03860    28.02376
     -6044907.5     0.00785     0.03428     0.04108    27.16726
     -6576062.4     0.00919     0.03549     0.04341    26.42103
     -7084376.1     0.01048     0.03671     0.04563    25.76823
     -7571875.7     0.01171     0.03795     0.04775    25.19253
     -8040404.0     0.01291     0.03918     0.04978    24.68043
     -8572990.4     0.01406     0.04028     0.05173    24.21571
    -10660825.6     0.01564     0.03853     0.05381    23.42347
    -11885678.1     0.01702     0.03920     0.05687    23.06930
    -12949371.5     0.01855     0.04123     0.06098    22.87789
    -13924352.5     0.02032     0.04361     0.06511    22.58251
    -14841903.1     0.02226     0.04599     0.06894    22.18390
    -15717516.0     0.02426     0.04838     0.07252    21.74738
    -16558983.7     0.02628     0.04934     0.07569    21.27568
    -17370594.5     0.02826     0.05166     0.07885    20.85924
    -18154981.0     0.03018     0.05266     0.08175    20.45457
    -18913906.9     0.03204     0.05502     0.08469    20.11278
    -19649018.8     0.03384     0.05600     0.08737    19.77383
    -20256655.9     0.03557     0.05721     0.09003    19.47877
    -19651097.4     0.03689     0.06127     0.09271    19.38175
    -19661162.8     0.03838     0.06340     0.09496    19.16389
    -19765925.4     0.03984     0.06534     0.09684    18.90963
    -19919352.2     0.04120     0.06712     0.09845    18.65563
    -20103238.1     0.04247     0.06730     0.09960    18.37184
    -20307866.6     0.04364     0.06877     0.10079    18.13666
    -20526814.5     0.04471     0.06883     0.10174    17.90125
    -20754993.2     0.04570     0.07017     0.10275    17.70968
    -20989119.8     0.04661     0.07012     0.10356    17.51497
    -21226300.4     0.04744     0.07146     0.10452    17.37354
    -21464376.9     0.04823     0.07136     0.10526    17.21514
    -21860397.8     0.04896     0.07111     0.10605    17.08629
    -23443470.8     0.05005     0.07070     0.10693    16.83107
    -24287270.5     0.05068     0.06969     0.10770    16.70621
    -24995859.2     0.05124     0.07004     0.10879    16.66466
    -25636965.7     0.05187     0.06888     0.10978    16.58797
    -26236619.0     0.05258     0.06934     0.11126    16.57118
    -26807478.8     0.05337     0.07009     0.11305    16.57995
    -27356623.5     0.05425     0.07104     0.11503    16.59214
    -27888794.9     0.05522     0.07209     0.11707    16.58956
    -28407458.3     0.05625     0.07317     0.11910    16.56498
    -28915202.1     0.05734     0.07426     0.12110    16.51950
    -29413947.8     0.05846     0.07534     0.12304    16.45770
    -29751332.0     0.05960     0.07661     0.12494    16.38481
    -29090484.6     0.06073     0.07897     0.12679    16.31407
    -29012830.5     0.06182     0.08087     0.12857    16.24918
    -29027856.0     0.06295     0.08139     0.13007    16.13952
    -29088393.4     0.06405     0.08308     0.13147    16.03024
    -29177771.9     0.06509     0.08478     0.13278    15.92544
    -29287546.1     0.06606     0.08506     0.13381    15.79883
    -29412409.9     0.06699     0.08656     0.13485    15.69047
    -29549282.6     0.06786     0.08671     0.13570    15.57161
    -29695298.2     0.06867     0.08816     0.13662    15.47973
    -29848494.0     0.06944     0.08819     0.13731    15.36931
    -30007492.2     0.07015     0.08833     0.13806    15.27964
    -30376329.4     0.07085     0.08932     0.13882    15.20317
    -31775420.0     0.07187     0.08792     0.13943    15.01459
    -32507453.1     0.07248     0.08729     0.14011    14.93417
    -33118331.9     0.07301     0.08797     0.14088    14.88565
    -33668635.6     0.07354     0.08723     0.14151    14.81315
    -34181489.2     0.07411     0.08786     0.14239    14.77009
    -34667782.7     0.07472     0.08707     0.14317    14.70445
    -35134817.9     0.07534     0.08641     0.14411    14.65636
    -35586091.7     0.07602     0.08715     0.14530    14.63871
    -36024949.5     0.07672     0.08810     0.14670    14.64093
    -36453208.8     0.07746     0.08773     0.14799    14.61892
    -36872377.9     0.07825     0.08879     0.14951    14.61923
